Feature,foci_av_emotionSPMfinal_ALE_resliced.nii
temporal sulcus,0.3008
temporale,0.12
temporally,-0.0359
temporo,0.0814
temporo parietal,0.0557
temporoparietal,0.0818
temporoparietal junction,0.0829
tend,-0.0406
tended,-0.0355
tendency,0.0136
tensor,-0.1006
tensor dti,-0.0795
term,-0.0014
term memory,0.0416
terms,-0.0041
tesla,0.0169
test,-0.0708
tested,0.0038
testing,-0.0149
tests,-0.0282
thalamic,-0.026
thalamus,0.0187
theoretical,-0.0077
theories,0.0189
theory,0.0792
theory mind,0.1195
therapeutic,0.0091
therapy,-0.0163
thermal,-0.0583
theta,-0.0492
thickness,-0.0745
thinking,0.0068
thirteen,0.0093
thirty,-0.0151
thought,-0.0111
thoughts,0.0218
threat,0.096
threatening,0.1236
threshold,-0.0151
time,-0.0439
time course,-0.0079
time courses,-0.0023
time series,0.0267
time task,-0.0141
times,-0.0195
timing,-0.0203
tissue,-0.0357
tms,-0.0392
tom,0.0694
tomography,-0.0152
tomography pet,0.0062
tone,0.0749
tones,0.0817
took,-0.0478
tool,-0.0195
tools,0.0418
topography,-0.0639
total,-0.0682
touch,-0.0648
tpj,0.0424
track,0.0141
tracking,-0.0215
tract,-0.1144
tract spatial,-0.099
tractography,-0.071
tracts,-0.1114
traditional,0.0066
traditionally,-0.0225
trained,-0.0403
training,-0.0661
trait,0.0076
traits,0.0022
transcranial,-0.0648
transcranial magnetic,-0.0632
transfer,-0.0386
transformation,-0.0279
transient,0.0507
transition,-0.0325
transporter,0.0469
trauma,0.0396
traumatic,-0.0166
treated,-0.0734
treatment,-0.0316
treatments,-0.0234
trend,-0.0309
trial,-0.0522
trial trial,-0.0257
trials,-0.0785
trigger,0.0395
triggered,-0.0043
true,-0.0136
turn,0.0382
twice,-0.0349
type,-0.0704
types,0.0195
typical,0.0202
typically,-0.0096
typically developing,0.0056
unaffected,-0.0571
uncertain,0.013
uncertainty,-0.0312
unclear,-0.03
undergoing,-0.0281
underlie,0.0413
underlies,0.0117
underlying,-0.022
underlying mechanisms,-0.0442
underpinnings,0.0215
understand,-0.0181
understanding,0.1032
understood,0.0123
unexpected,0.036
unfamiliar,0.0797
unilateral,-0.0521
unimodal,0.1859
unique,-0.0245
uniquely,0.0399
univariate,-0.0028
unknown,0.0802
unlike,0.0138
unmedicated,0.0205
unpleasant,0.0593
unrelated,0.0078
upcoming,0.0114
updating,-0.0542
upper,-0.053
use,-0.024
use functional,-0.0262
useful,-0.0137
users,-0.0249
uses,0.0042
using,0.0159
using event,-0.0283
using functional,0.0842
using parametric,-0.0237
using resting,-0.0048
using voxel,-0.0372
usually,-0.0417
utility,-0.0645
utilized,-0.0194
v1,-0.012
v5,0.0181
valence,0.1287
valid,0.04
validated,-0.006
validity,0.001
valuable,-0.0034
value,0.0018
values,-0.0711
variability,0.0029
variable,-0.0146
variables,-0.0387
variance,-0.0313
variant,0.0189
variation,-0.0115
variations,-0.0288
varied,0.0262
varies,-0.0242
variety,-0.0197
various,-0.0036
vary,0.0094
varying,0.0194
vbm,-0.0388
vector,0.0121
ventral,0.0249
ventral anterior,-0.0377
ventral dorsal,-0.045
ventral medial,-0.0197
ventral premotor,0.0175
ventral striatum,0.0156
ventral visual,0.0395
ventrolateral,-0.0255
ventrolateral prefrontal,-0.0134
ventromedial,0.0578
ventromedial prefrontal,0.0425
verb,-0.0159
verbal,-0.0199
verbal fluency,-0.0538
verbal working,-0.0787
verbs,0.0081
vermis,-0.0573
version,-0.0631
versus,0.006
video,0.0713
video clips,0.0883
videos,0.1245
view,0.0066
viewed,0.1173
viewing,0.1519
violations,-0.0026
virtual,-0.0074
vision,0.0036
visual,0.0589
visual attention,-0.0196
visual auditory,0.1324
visual cortex,0.0274
visual cortices,0.0351
visual field,-0.0218
visual information,-0.0115
visual motion,0.0304
visual perception,0.0261
visual stimuli,0.0593
visual stimulus,0.0111
visual stream,0.0466
visual word,-0.0026
visually,-0.0117
visually presented,0.0152
visuo,-0.0454
visuo spatial,-0.0588
visuomotor,-0.0425
visuospatial,-0.0604
vivo,-0.0519
vlpfc,-0.004
vmpfc,-0.0215
vocal,0.0944
voice,0.2123
volume,-0.0636
volumes,-0.0619
volumetric,-0.074
voluntary,-0.0705
volunteers,-0.019
voxel,-0.0811
voxel morphometry,-0.0677
voxel voxel,-0.0295
voxel wise,-0.0497
voxels,-0.0496
voxelwise,-0.0422
vs,0.0185
vulnerability,0.0186
watched,0.0599
water,-0.0421
way,0.0185
ways,-0.0269
weak,-0.0426
weaker,0.0195
week,-0.0203
weeks,-0.0535
weight,0.0102
weighted,-0.0824
whilst,0.0139
white,-0.1116
white matter,-0.1236
wide,-0.0442
widely,0.0176
widespread,-0.0057
wise,-0.0531
wm,-0.1376
wm task,-0.0561
women,0.0315
word,0.0162
word form,0.0195
word recognition,-0.0139
words,0.0735
work,-0.0281
working,-0.1042
working memory,-0.1047
world,0.0455
worse,-0.044
written,0.0327
year,0.0179
year old,-0.0227
years,-0.0163
yield,-0.0072
yielded,0.029
young,-0.032
young adults,-0.0341
young healthy,-0.0617
younger,-0.0161
younger adults,-0.0307
zone,-0.0378
